"","created_at","title","description","petition_status"
"11",2020-04-26 18:31:38,"ministry of finance: PM ensure: Tax-benefits & low-interest-loans for women-owned enterprise post-lockdown","<p>The COVID emergency in India has led to a nationwide lockdown, not only leading to an economic standstill but also making some people more vulnerable to the economic crises than others. Women are one of the most vulnerable groups and prone to massive social, political and economic impacts due to pre-existing inequalities. According to the United Nation’s policy brief on the impact of COVID on women, the crises threatens a rollback of the limited gains made in gender equality. In the economic sphere, where 65% of women are employed in the unorganized sector, they are more susceptible to losing their jobs than men. Not only is the lack of social security nets, a danger, but the pay-gap also puts women at a greater disadvantage. As the crises unfold, the impact on women from various intersectionality is becoming clearer which calls for a gender-lens in the national pandemic response. Women are paid less, have access to lesser jobs and are therefore more prone to economic shocks. These can greatly affect families, particularly in female-headed households. The impact especially aggravates for women who are already living on economic margins. Women-led businesses make up to 14% of business establishments in India where most of them are small-scale enterprises. The lockdown threatens the sustainability of these businesses. Additionally, women entrepreneurs are more likely to face roadblocks post-lockdown due to lack of resources and glass ceilings that deprives them of a level-playing field.</p>
<p>The policy at the national level lacks a comprehensive gendered analysis of the situation. As government initiative, the WEP under NITI Aayog tried to reach out to women-led small-scale businesses and startups for the procurement of raw material, supply and distribution of cloth masks made by women workers as a means of income, but the initiative is not enough. It is still unable to cover a large portion of entrepreneurial and working women in the country who need aid. Women workers and entrepreneurs require economic support and policy framework that safeguards their jobs and businesses. There are not clear assurances of economic security measures for women that can help support them during the lockdowns. In light of these issues that require immediate attention, we demand the government to:</p>
<p><strong>Ensure tax relief for all women-owned businesses during and after the lockdown in both rural and urban India.</strong></p>
<p>Provide NBFC finances to small scale women-led businesses and Self Help Groups at the lowest interest rate possible. (The current interest rate is nearly 9%, which should be reduced by 50-60%). ( Relief to SHGs for non-collateral loans but the interest rate is same. However, no support to women-led businesses which are majorly urban centred businesses)</p>
<p>Creation of economic security net for women working in the informal sector, through direct cash transfers, subsidies and effective job-creation initiatives post-lockdown, particularly focused for women.</p>
<p>Inclusion of the gender-lens in the national response plan.</p>","active"
"12",2020-10-25 19:52:27,"Mr: #JusticeforNoorie","<p>#JUSTICEFORNOORIE</p>
<p>Noorie, a nine-year-old community dog living in a Galleria Mall in Hiranandani Powai was raped brutally. She has been living in this vicinity for 8-9 years. According to the people in the nearby area, she was a friendly dog. </p>
<p>She was found brutally raped and bleeding profusely from her private parts on Thursday. According to a report by Free Press Journal, Devi Sheth, a software engineer who knows the dog well took her to an NGO for treatment. She was accompanied by other animal lovers of the area.</p>
<p>She was immediately admitted at the World For All facility in Andheri. Given that the dog was bleeding from her private parts, the veterinarians suspected a foreign object could be the cause.</p>
<p>During her emergency treatment, an 11-inch wooden rod was found inserted in her private parts with immense force leaving her internal organs butchered. It was a complicated surgery and Noorie had to be slit open chest down and lost a lot of blood in the process.</p>
<p>An FIR for this matter has already been registered under Sec 377 of the IPC (unnatural intercourse) and two sections under the Prevention of Cruelty to Animals Act (PCA).</p>
<p>Noorie on the other hand continues to fight for her life. An NGO is trying to raise money for the treatment along with a demand for justice.</p>
<p><br> <br> </p>
<p> </p>
<p> </p>","active"
"13",2021-04-23 17:46:09,"Students: Break From College and online classes","<p>Due to the recent wave of COVID-19 a lot of people are getting infected. Lots of students and staff members of college staff too along with their family members. This have put a lot of burden on them as it is very hard for them to attend classes because of high fever, weakness , cough and body pain and some are even hospitalized or they need to tend to the needs of their infected family member who is infected an is in isolation the same goes for staff members. So it will be very helpful to them if universities and college provide them with a break of 15-20 days to get back in healthy state to attend classes again. Because if this continues it will only worsen the situation as some student won't be able to attend classes at all or might fail the exams because of lack of focus or even in the worse case might need to repeat the year. </p>","active"
"14",2020-11-03 15:56:37,"Animal lovers and wildlife rescuers: I want to find homes for abandoned animals.","<p><strong><em>Hi I am Nysa Timbadia from grade 3 and I am 8 years old. I want to make sure that dogs have their homes so please help me save dogs. I feel bad when cars run over them, they get many injuries and they don't even get food. Small puppies don't get to meet their families.</em></strong></p>
<p><strong><em>My heart goes out to them when they have  bruises and nobody even takes them to the vet. If you do 4 basic steps it would make a big difference like 1-Signing this petition 2-going somewhere where there are a lot of dogs\puppies 3-Take those puppies\dogs to the vet 4-give them shelter or food.</em></strong></p>","active"
"15",2021-03-02 15:02:58,"United States Department of Agriculture (USDA): Meat packaging should contain a label showing how humanely the animals were treated","<p><strong>While buying meat, people should know how the animals were treated for the meat and dairy products</strong>. The packaging should contain a label to show how well the animals were treated. The grading can be done by third parties, similar to ISO, HACCP and other food safety certifications. It can be a simple grade like A, B, C or D.</p>
<p>This simple rule will <strong>increase the transparency for the consumers.</strong></p>
<p>People naturally have compassion for animals. But today most meat manufacturers treat animals in such inhumane conditions that most of us will not even be able to watch an entire YouTube video showing how the animals are treated.</p>
<p>In a free market where the consumer is the king, why is there such a gap between how consumers would want the animals to be treated and how the animals are actually treated?</p>
<p>Due to the lack of transparency!</p>
<p>While buying meat or milk products in a supermarket, consumers do not know how most of the brands treat animals. A simple label on the packaging will help address this problem.</p>
<p>This transparency will improve the lives of millions of animals being killed (and tortured) every year. But more importantly, this rule will make the change with the power of transparency, and not by making it compulsory for the manufacturers to treat the animals in a certain way.</p>
<p>Almost all the manufacturers already get audited for different food-related norms/certifications. Audits for this label can also be added along with the other regular audits, so the cost of adding this label might be negligible for the manufacturers.</p>
<p>Thus, the FDA/USDA should make it mandatory for meat and dairy product manufacturers to have a label representing how the animals are treated.</p>","active"
"16",2020-07-15 10:42:20,"Chief Minister Mr Nitish Kumar: Prayer for improving Covid-19 health facilities in Bihar, India","<p>There is sudden surge in Covid19 in Bihar. Many government functionaries are also infected. 16 days lockdown has been  declared. <br>The health infrastructure is not upto mark in the state. <br>In view of sudden surge of virus, government need to come to rescue of people of state and create adequate number of testing facilities, quarantine centres, readying ventilators and ICUs. Private medical centres ought to be asked to ready themselves as well. <br>As per ICMR guidelines, prescription of a doctor is not needed to get tests done and therefore testing facilities , both government’s and private ones, be made available liberally so that asymptotic people suffering with Covid 19 can be segregated and spread be stemmed. <br>The central government, with the intervention of Home Minister , can help create additional facilities for above purposes by utilising central government institutions such as railways, CRPF, central government schools. <br>The active and timely actions of both governments will save hundreds of innocent lives.<br><br></p>
<p> </p>","active"
"17",2020-12-01 08:02:28,"Action against hunting: Stop hunting animals","<p>Now- a- days the animals are being hunted because of inhuman treatment of people.that we must to be stopped .recently elephants and dogs are dead.because of inhuman treatment of people to the animals this is happened due to insufficient forests areas and insufficient food for animals . And the marketing values of animals . We abundant these atrocities and we should protect and save the animals we should take more steps to protect  animals .like maintenance of forest areas and make the forest as a protected zoological parks. And take a action against hunting animals and the punishment should be given and many medical facilities for animals should be imported and we should give a food for animals and maintain the balance eco- system .the birds and animals should be protected from hunting and dead and the many acts should be imported for product animals. We should fight to protect animals</p>","active"
"18",2020-10-03 14:33:19,"Ask @DrRPNishank @EduMinOfIndia to incorporate a mandatory mental health curriculum(non-graded) in schools. Please help me build the momentum we need to save thousands of lives #mentalhealthinschools","<p>Growing up, I never heard terms like depression, anxiety, mental health; just the occasional ‘suicides’ reported in the news channels. I always thought that something must be wrong with youngsters who choose to take their lives, <strong>until I faced a similar situation in 2017 when I decided to take mine due to a spine injury that ended my career in the Armed Forces (National Defence Academy).</strong></p>
<p>It wasn’t long before I went through Depression and PTSD (Post Traumatic Stress Disorder). I found myself flailing in the ocean of helplessness and silence. Back in those days I thought I was the only one who was going through this, but when I looked around<strong> there were so many</strong>; some my age, some elder, but <strong>mostly younger</strong>.</p>
<p>I did some research only to find out that <strong>one student dies by suicide every hour in India</strong>, and one out of four students in 13-15 age group is <strong>depressed</strong> in India. India has the <strong>highest suicide rate</strong> among the ten South-East Asian Countries.</p>
<p>While there are a lot of conversations around mental health, breaking the stigma, and its importance among schoolchildren, the <strong>ground level reality is abysmal</strong>. Even the <strong>NEP 2020</strong>, and the <strong>Manodarpan</strong> Initiative by the Education Ministry has <strong>not addressed the issue sufficiently</strong>.</p>
<p>The ask of the petition is to<strong> incorporate Mandatory Mental Health Curriculum(non-graded) in all public and private schools.</strong></p>
<p><strong>What does a Mental Health Curriculum include?</strong></p>
<ul>
<li><strong>Understanding</strong> mental health and mental illness, the <strong>stigma</strong> of mental illness,<strong> information</strong> on specific mental illnesses, <strong>experiences</strong> of mental illness, <strong>seeking help</strong> and emotional support, the <strong>importance</strong> of positive mental health.</li>
<li> <strong>Social-Emotional Learning</strong> (SEL).</li>
<li><strong>Life Skills Training</strong></li>
<li><strong>Parent(s) and Teacher(s) training.</strong></li>
</ul>
<p>The curriculum is <strong>not about adding more syllabus</strong>, but rather <strong>educating and sensitizing</strong> the students through dialogues, discussions, activities, feedbacks, exercises, skill training, etc. It’s high time that the trend of ‘observing’ a ‘mental health week/day’ in schools once a year changes to <strong>all-year round curriculum;</strong> or else it loses its effectiveness just like the sad state of ‘sex education’ in schools.</p>
<p>I urge you to <a href=""https://www.change.org/p/department-of-school-education-and-literacy-incorporate-mandatory-mental-health-curriculum-in-schools-mentalhealthinschools/sign-now"" rel=""nofollow""><strong>sign this petition</strong></a> and play your part. The more people sign, the more momentum this campaign gains, increasing the chances of success. I cannot do this without you.</p>
<p>In support of this petition I am walking from <strong>Kanyakumari to Kashmir (4000 kms) </strong>since16th November 2020. In my journey I am meeting various <strong>government officials</strong>, making pit stops at <strong>schools, local government bodies, private institutions, and social activists</strong>, getting petition<strong> signatures, spreading awareness</strong> and taking this cause forward with <strong>maximum intensity.</strong></p>
<p>We cannot bring this request into fruition without all the forces working together recognizing that <strong>mental health education in schools is need of the hour.  </strong></p>
<p><strong><a href=""https://www.change.org/p/department-of-school-education-and-literacy-incorporate-mandatory-mental-health-curriculum-in-schools-mentalhealthinschools/sign-now"" rel=""nofollow"">Sign my petition</a></strong> asking the <strong>Ministry of Education to incorporate Mandatory Mental Health Curriculum in Schools.</strong></p>
<p>I need your help. Please <a href=""https://www.change.org/p/department-of-school-education-and-literacy-incorporate-mandatory-mental-health-curriculum-in-schools-mentalhealthinschools/sign-now"" rel=""nofollow""><strong>sign this petition</strong></a> and ask everyone around you to do it too. Every signature matters; to us, and to the ones who are looking at us from the stars.</p>
<p><strong>Let’s bring #mentalhealthinschools</strong></p>","active"
"19",2020-09-27 14:49:17,"Amazon: Save the dogs","<p>Nowadays, killing of dogs is common. <strong>But, </strong>we need to <strong>STOP ✋ </strong>promoting the killing of dogs. If people you cannot keep a dog because of your household economy then, you don't have the rights to kill dogs. They are also just like us. Dogs are the most loyal pets. </p>
<p>“A dog is the only thing on earth that loves you more than you love yourself.”</p>
<p>Just because they are not like us, it doesn't mean they are worthless. Stop killing the dogs.</p>","active"
"20",2020-12-01 12:54:42,"National Environment Management Authority of Kenya: We Say No to an Industrial Port in Shimoni and Wasini's Channel","<p>We protest with the people of Wasini and its voiceless flora &amp; fauna against the construction of a big industrial fishing port in Wasini's channel. The amazingly varied and healthy marine habitat, the rare natural beauty of the waters and the island itself must by all means be preserved for everyone, including future generations of residents and tourists. The construction of a major port right opposite of a carbon-neutral island and protected marine areas is by no means a step forward in the right direction – we are categorically opposed to this destructive project. Industrial projects do not belong in pristine nature environments.</p>
<p>Research shows that the variety of reef fish species is indeed higher in the Community Conservation Area located in front of Wasini’s school and madrassa than in the Marine National Park (NP). Although up to date no such research has been undertaken for the northern Wasini waters in general, we have the most extensive experience and thousands of feedback from snorkelers that wildlife sightings are exceptionally good all along the northern coast (i.e. channel). Up to now, it is a paradise for snorkelers. The report classifies this natural bounty as dispensable by suggesting a transplant of the corals from the island’s Marine Conservation Area. This suggestion is a proof of a complete lack of assessment of the importance of this ecosystem to Wasini’s population, the Kenyan people, and holiday makers from all over the world</p>","active"
"21",2020-04-15 15:32:30,".@GoI_MeitY @SetuAarogya @arnabthakur : Use Aarogya Setu to Assist Domestic Violence Survivors #SetuFightAbuse","<p><em>The screams remain muffled inside the house. Silenced. With no escape. </em></p>
<p>The lockdown brings different horrors to different people. With <strong>women locked away with their husbands, domestic abuse has increased in our country.</strong> Unfortunately, domestic abuse remains a tragic reality for many women even under ‘normal’ circumstances - the nationwide lockdown has made it worse. </p>
<p>But if you know of any person who survived domestic abuse, you are likely to have heard of her running away. <strong>How does a victim escape in a lockdown? Women who could earlier access a helpline or escape the house are unable to do so now due to the lack of privacy and transportation. </strong></p>
<p><strong>Aarogya Setu</strong> is the Government of India's mobile application developed to <strong>proactively communicate risks, best practices, and relevant advisories pertaining to the containment of COVID-19</strong>.</p>
<p>Since the app is <strong>available in 12 languages</strong> and has been <strong>downloaded by more than 7 crores (70 million) Indians</strong>, it will have a large reach amongst a wider audience.</p>
<p>We are <strong>asking the Government o extend the functionality of the  Government of India’s Aarogya Setu mobile application to include an alert for women to reach out for help.</strong></p>
<ol>
<li>The <strong>precision tracking feature</strong> of the app could be used to identify the household where help is needed.</li>
<li>The app allows users to volunteer in the time of need. These <strong>volunteers could reach out to the domestic abuse victims in their vicinity</strong>. Alternatively, <strong>Zomato</strong> has already adopted the Aarogya Setu app through its large network of <strong>delivery agents</strong>. These agents who travel neighborhoods can also be leveraged for this task.</li>
<li>The <strong>existing infrastructure of helplines and safe centers</strong> run by the National Commission for Women, police, and NGOs working in the domain of domestic abuse, can be used <strong>to receive the alerts, assign the volunteers, guide them and follow up with them.</strong>
</li>
<li>The user could also be given an option to <strong>notify her trusted circle of contacts.</strong>
</li>
</ol>
<p>For a vulnerable woman fighting abuse, a one-click alert getting the nearest personnel or volunteer to <strong>knock at her door could mean an escape- from the house or the situation, whichever she chooses. </strong>It will also let the abusers know that others can hear them and will act to interrupt the violence.</p>
<p><a href=""https://www.change.org/p/ministry-of-electronics-and-information-technology-use-aarogya-setu-to-assist-domestic-violence-survivors-setufightabuse/sign-now"" rel=""nofollow""><strong>Sign our petition</strong></a> asking the Government to<strong> urgently provide interventions in the Aarogya Setu app to assist women fighting domestic abuse</strong>. </p>
<p>We need to stand together and raise our voice for women who remain silenced in locked houses and need help <strong>#SetuFightAbuse</strong></p>","active"
"22",2020-09-12 18:25:47,"Vidushi Seth: Vidushi make tang please bhai get off of the bed for once in your life meri tabyat kharab","<p>I am not feeling well man pls tang banado plej</p>
<p>For the love of shtuff make tang I have 103 degree fever make me tang please </p>
<p>Pleasean please </p>","active"
"23",2021-04-14 09:56:15,"10,000: CHSL& CGL 2021 SHOULD BE POSTPONED","<p><strong>LETS TAKE THIS STEP TOWARDS OUR HEALTH AND CAREERS!!!!</strong></p>
<p> </p>
<p>Looking at the pandemic situation , GOVT should care for people's health and look forward to postpone govt exams.</p>
<p>. One of the major reasons behind the same is inconsistent classes at coaching institutes because of lockdown restrictions.</p>
<p>. Most importantly the cases are now increasing 3X times. Let's stop making exam centres COVID hotspots of spreading the virus.</p>
<p>SPREAD THIS PETITION AS MUCH AS YOU CAN AND PROVIDE YOURSELF THE JUSTICE!!!</p>","active"
"24",2020-10-01 22:08:19,"Human Rights Campaign: Immediate ban of rape culture In India asap.","<p>Sexual violence is a major problem faced by women and girls in India. It is already a challenge for survivors to obtain justice in the Indian legal system, and those from the country’s marginalized communities face even more major barriers.<br>Although about 100 new cases are reported every day to the police, reporting rates throughout the country are devastatingly low, with one government survey finding that 99.1 percent of cases go unreported.<br>Yet, as of 2016, the most recent data available, there were over 133, 000 sexual violence cases awaiting trial and conviction rates are very low. Survivors of sexual violence face huge barriers in accessing justice, including community pressure to drop the case, discriminatory attitudes of police and judicial officers, insufficient legal aid and discouraging conviction rates. <br>In India, society often still shifts blame onto survivors, shaming a survivor and her family into silence. This is especially true among those are already marginalized within Indian society, leaving them particularly vulnerable to sexual violence. This culture of shame follows survivors into law enforcement, the court system and into hospitals, further silencing survivors’ voices.<br>Survivors may have great difficulty accessing counseling services, or have no access, and must contend with insufficient legal support, including delays in filing their complaints.<br>In the last 10 days,3 horrible cases of rape have been reported in india amongst a dozen others.In one of them,a young girl(19) was kidnapped in broad daylight from the field by a group of males and was dragged to a secluded place.They dragged her so roughly that most of her bones were broken along with her spinal cord,permanently paralysing her.They then gang raped her and killed her.Her parents later found her--bloodied,mutilated,lifeless.<br>Another girl was raped and her bones were broken and her tongue was ripped off.She died while she was hospitalized. <br>Yet another girl was raped by a minister's son and his group of friends and her body was burnt by the police themselves because the police were corrupt and bribed by the minister's son.<br>This is going out of hand.Take a few minutes to save countless innocent lives and sign up this petition.Lets hope the targeted authorities try and take some stern measures against these to promote gender equality,ban rape culture,and also make laws against rape much more powerful,stern and also to prescribe extreme torture to be meted out to the rapists,followed by immediate death.<br>Kindly sign this petitions if you wish to give your daughter (or your own self) a better tommorow.</p>","active"
"25",2021-04-11 13:33:06,"1000: Cancellation of class 10th and 12th board exam....","<p>             #STUDENTWANTJUSTICE</p>
<p>Message for education ministry for students justice . The situation in India is getting worse day by day ! When there were only a few cases in the country they cancelled the remaining board exams And now when the situation getting worse the Government</p>","active"
"26",2020-05-13 23:17:54,"to make sure the parlours open for a while: #opentheparlours","<p>it’s been 3 months or more since the parlours have been shut due to corona which we understand but they gotta open for a while.Our hair have become so dull and dry and i just wanna make sure that they open for a while.-we will wear masks,gloves and will be sanitized properly and so will the staff(101%)and it doesent have to open permanently but just for a while so we look like humans:))</p>
<p>Thank you x</p>","active"
"27",2020-12-17 10:01:55,"Animals need Home Too!  #JusticeForAbandonedAnimals","<p>On December 17, 2020, I found almost 2-weeks old kitten stranded by the sidewalk near Vani Mahal bus stop opposite to Jain Temple at T.Nagar, Chennai, Tamil Nadu, IN.    </p>
<p>The young feline was malnourished and barely breathing which instantly melted my heart. I immediately called Bluecross hoping the kitten would get the help he needed. But the response I received was shocking!</p>
<p>The associate insisted I must provide first aid ( which I did, took the kitten to the veterinary hospital) and raise the kitten myself as Bluecross Chennai do not provide shelter to animals unless they are seriously injured.  My disappointment continued to grow as I reached out to many namesake shelters which I found through Google search and later to slowly discover none of them have a shelter around the city.  </p>
<p>I am baffled and deeply resenting by the way we treat our four-legged neighbors.  Having lived in abroad for several years now, I can immediately spot the difference.  Everything must change!  Have we lost all the compassion? Saddening. </p>
<p>Presently, only animals that are seriously injured are admitted in the shelter and it takes about two hours for any welfare worker to reach the affected animal. Other animals are left ""abandoned"" not only by the NGOs, but also by our Government. Stranded Kittens and Puppies cannot endure life-threatening situations without proper care.  This must change.</p>
<p><strong>I am starting this petition to achieve two things:</strong></p>
<ol>
<li> <strong>Proper Intervention to increase shelter capacity to house the animals.  </strong></li>
<li><strong>Government to support NGOs to recruit welfare workers to transport the abandoned animals to the shelters in a timely manner so the required care is available to them</strong></li>
</ol>
<p>I welcome your support in this cause. As Mahatma Gandhi said, “The greatness of a nation and its moral progress can be judged by the way its animals are treated.”  Let's sign this petition: to demand justice and to increase animal shelters across the state, so no animal is left abandoned.  </p>","active"
"28",2021-03-15 09:59:42,"Government of Pakistan: Petition to imprison a religious scholar who openly called for gang raping women.","<p>Following The Women March, annually held on 8th March, a video circulating of a so called religious  scholar {Akhtar Mengal} who calls for the gang rape of those women who chants ""my body my choice"" to his audience. This is a serious threat to women who speak their voices, a country where the words of a religious person are taken for granted. This video can provoke many religious goons to physically hurt or rape women. The culprit has to be arrested and talked some sense into, so he speak more wisely and with responsibility from his platform. </p>","active"
